team,prefix_1,prefix_2,url
Boston Celtics,bos,boston-celtics,http://www.espn.com/nba/team/_/name/bos/boston-celtics
Brooklyn Nets,bkn,brooklyn-nets,http://www.espn.com/nba/team/_/name/bkn/brooklyn-nets
New York Knicks,ny,new-york-knicks,http://www.espn.com/nba/team/_/name/ny/new-york-knicks
Philadelphia 76ers,phi,philadelphia-76ers,http://www.espn.com/nba/team/_/name/phi/philadelphia-76ers
Toronto Raptors,tor,toronto-raptors,http://www.espn.com/nba/team/_/name/tor/toronto-raptors
Golden State Warriors,gs,golden-state-warriors,http://www.espn.com/nba/team/_/name/gs/golden-state-warriors
LA Clippers,lac,la-clippers,http://www.espn.com/nba/team/_/name/lac/la-clippers
Los Angeles Lakers,lal,los-angeles-lakers,http://www.espn.com/nba/team/_/name/lal/los-angeles-lakers
Phoenix Suns,phx,phoenix-suns,http://www.espn.com/nba/team/_/name/phx/phoenix-suns
Sacramento Kings,sac,sacramento-kings,http://www.espn.com/nba/team/_/name/sac/sacramento-kings
Chicago Bulls,chi,chicago-bulls,http://www.espn.com/nba/team/_/name/chi/chicago-bulls
Cleveland Cavaliers,cle,cleveland-cavaliers,http://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers
Detroit Pistons,det,detroit-pistons,http://www.espn.com/nba/team/_/name/det/detroit-pistons
Indiana Pacers,ind,indiana-pacers,http://www.espn.com/nba/team/_/name/ind/indiana-pacers
Milwaukee Bucks,mil,milwaukee-bucks,http://www.espn.com/nba/team/_/name/mil/milwaukee-bucks
Dallas Mavericks,dal,dallas-mavericks,http://www.espn.com/nba/team/_/name/dal/dallas-mavericks
Houston Rockets,hou,houston-rockets,http://www.espn.com/nba/team/_/name/hou/houston-rockets
Memphis Grizzlies,mem,memphis-grizzlies,http://www.espn.com/nba/team/_/name/mem/memphis-grizzlies
New Orleans Pelicans,no,new-orleans-pelicans,http://www.espn.com/nba/team/_/name/no/new-orleans-pelicans
San Antonio Spurs,sa,san-antonio-spurs,http://www.espn.com/nba/team/_/name/sa/san-antonio-spurs
Atlanta Hawks,atl,atlanta-hawks,http://www.espn.com/nba/team/_/name/atl/atlanta-hawks
Charlotte Hornets,cha,charlotte-hornets,http://www.espn.com/nba/team/_/name/cha/charlotte-hornets
Miami Heat,mia,miami-heat,http://www.espn.com/nba/team/_/name/mia/miami-heat
Orlando Magic,orl,orlando-magic,http://www.espn.com/nba/team/_/name/orl/orlando-magic
Washington Wizards,wsh,washington-wizards,http://www.espn.com/nba/team/_/name/wsh/washington-wizards
Denver Nuggets,den,denver-nuggets,http://www.espn.com/nba/team/_/name/den/denver-nuggets
Minnesota Timberwolves,min,minnesota-timberwolves,http://www.espn.com/nba/team/_/name/min/minnesota-timberwolves
Oklahoma City Thunder,okc,oklahoma-city-thunder,http://www.espn.com/nba/team/_/name/okc/oklahoma-city-thunder
Portland Trail Blazers,por,portland-trail-blazers,http://www.espn.com/nba/team/_/name/por/portland-trail-blazers
Utah Jazz,utah,utah-jazz,http://www.espn.com/nba/team/_/name/utah/utah-jazz
